;series_name;episode_number;season_number;air_date;origin_country;channel;episode_url;duration
52;Assisted Living;21;4;04-10-2023;Etats-Unis;BET;episode21-410622-04102023-saison4-Assisted-Living.html;None
53;Assisted Living;22;4;04-10-2023;Etats-Unis;BET;episode22-410623-04102023-saison4-Assisted-Living.html;None
54;Bones of Crows;3;1;04-10-2023;Canada;CBC;episode03-410642-04102023-saison1-Bones-of-Crows.html;None
55;Children Ruin Everything;2;3;04-10-2023;Canada;CTV;episode02-410794-04102023-saison3-Children-Ruin-Everything.html;None
56;Chucky;1;3;04-10-2023;Etats-Unis;Syfy;episode01-409037-04102023-saison3-Chucky.html;None
57;Demain nous appartient;33;7;04-10-2023;France;TF1;episode33-410922-04102023-saison7-Demain-nous-appartient.html;None
58;Hans River Police;7;1;04-10-2023;Etats-Unis;Disney+;episode07-409972-04102023-saison1-Hans-River-Police.html;None
59;Hans River Police;8;1;04-10-2023;Etats-Unis;Disney+;episode08-409973-04102023-saison1-Hans-River-Police.html;None
60;Hudson & Rex;1;6;04-10-2023;Canada;Citytv;episode01-410258-04102023-saison6-Hudson--Rex.html;None
61;Ici tout commence;28;4;04-10-2023;France;TF1;episode28-410917-04102023-saison4-Ici-tout-commence.html;None
62;Invasion (2021);7;2;04-10-2023;Etats-Unis;Apple TV+;episode07-407971-04102023-saison2-Invasion-(2021).html;52
63;Magnum P.I. (2018);11;5;04-10-2023;Etats-Unis;NBC;episode11-409152-04102023-saison5-Magnum-PI-(2018).html;None
64;Quantum Leap (2022);1;2;04-10-2023;Etats-Unis;NBC;episode01-408633-04102023-saison2-Quantum-Leap-(2022).html;None
65;RFDS;8;2;04-10-2023;Australie;Seven;episode08-410739-04102023-saison2-RFDS.html;None
66;Robyn Hood;2;1;04-10-2023;Canada;Global;episode02-410949-04102023-saison1-Robyn-Hood.html;None
67;SurrealEstate;1;2;04-10-2023;Etats-Unis;Syfy;episode01-409249-04102023-saison2-SurrealEstate.html;None
68;The Morning Show;5;3;04-10-2023;Etats-Unis;Apple TV+;episode05-407700-04102023-saison3-The-Morning-Show.html;50
69;The Worst of Evil;4;1;04-10-2023;Etats-Unis;Disney+;episode04-410766-04102023-saison1-The-Worst-of-Evil.html;None
